dataset_name,suite_name,majority_pct
credit,numerical_classification,50.0
california,numerical_classification,50.0
road-safety,categorical_classification,50.0
rl,categorical_classification,50.0
covertype,categorical_classification,50.0
KDDCup09_upselling,categorical_classification,50.0
eye_movements,categorical_classification,50.0
electricity,categorical_classification,50.0
jannis,numerical_classification,50.0
eye_movements,numerical_classification,50.0
Higgs,numerical_classification,50.0
MiniBooNE,numerical_classification,50.0
phoneme,numerical_classification,50.0
bank-marketing,numerical_classification,50.0
MagicTelescope,numerical_classification,50.0
kdd_ipums_la_97-small,numerical_classification,50.0
house_16H,numerical_classification,50.0
pol,numerical_classification,50.0
covertype,numerical_classification,50.0
electricity,numerical_classification,50.0
wine,numerical_classification,50.0
compass,categorical_classification,50.0
