dataset_name,suite_name,avg_correlation
SGEMM_GPU_kernel_performance,categorical_regression,1.0
MiniBooNE,numerical_classification,0.8071
diamonds,categorical_regression,0.4642
diamonds,numerical_regression,0.4642
kdd_ipums_la_97-small,numerical_classification,0.3812
superconduct,numerical_regression,0.3455
Ailerons,numerical_regression,0.3193
houses,numerical_regression,0.3137
Brazilian_houses,categorical_regression,0.2975
Brazilian_houses,numerical_regression,0.2975
sulfur,numerical_regression,0.2796
MagicTelescope,numerical_classification,0.2741
medical_charges,numerical_regression,0.2703
elevators,numerical_regression,0.2548
wine_quality,numerical_regression,0.2448
wine,numerical_classification,0.2413
cpu_act,numerical_regression,0.2398
rl,categorical_classification,0.2348
MiamiHousing2016,numerical_regression,0.2208
black_friday,categorical_regression,0.2168
electricity,categorical_classification,0.2125
electricity,numerical_classification,0.2125
covertype,numerical_classification,0.1932
Bike_Sharing_Demand,categorical_regression,0.1924
Bike_Sharing_Demand,numerical_regression,0.1924
house_sales,categorical_regression,0.1895
house_sales,numerical_regression,0.1895
covertype,categorical_classification,0.1747
isolet,numerical_regression,0.1741
yprop_4_1,categorical_regression,0.1704
house_16H,numerical_classification,0.1547
fifa,numerical_regression,0.1536
house_16H,numerical_regression,0.1488
KDDCup09_upselling,categorical_classification,0.1447
california,numerical_classification,0.1325
california,numerical_regression,0.1324
credit,numerical_classification,0.1305
visualizing_soil,categorical_regression,0.127
eye_movements,categorical_classification,0.1247
eye_movements,numerical_classification,0.1247
phoneme,numerical_classification,0.1197
year,numerical_regression,0.1093
pol,numerical_regression,0.1012
pol,numerical_classification,0.0953
OnlineNewsPopularity,categorical_regression,0.0889
road-safety,categorical_classification,0.077
compass,categorical_classification,0.0765
nyc-taxi-green-dec-2016,numerical_regression,0.0757
nyc-taxi-green-dec-2016,categorical_regression,0.0757
analcatdata_supreme,categorical_regression,0.0753
Higgs,numerical_classification,0.0748
bank-marketing,numerical_classification,0.0607
jannis,numerical_classification,0.0526
particulate-matter-ukair-2017,categorical_regression,0.0254
Mercedes_Benz_Greener_Manufacturing,categorical_regression,0.0
