task_id,dataset_name,suite_name,task_type,n_samples,n_features,n_categorical,n_numerical,n_classes,has_missing
361055,credit,numerical_classification,classification,16714,10,0,10,2.0,False
361056,california,numerical_classification,classification,20634,8,0,8,2.0,False
361057,wine,numerical_classification,classification,2554,11,0,11,2.0,False
361060,electricity,numerical_classification,classification,38474,7,0,7,2.0,False
361061,covertype,numerical_classification,classification,566602,10,0,10,2.0,False
361062,pol,numerical_classification,classification,10082,26,0,26,2.0,False
361063,house_16H,numerical_classification,classification,13488,16,0,16,2.0,False
361064,kdd_ipums_la_97-small,numerical_classification,classification,5188,20,0,20,2.0,False
361065,MagicTelescope,numerical_classification,classification,13376,10,0,10,2.0,False
361066,bank-marketing,numerical_classification,classification,10578,7,0,7,2.0,False
361067,phoneme,numerical_classification,classification,3172,5,0,5,2.0,False
361068,MiniBooNE,numerical_classification,classification,72998,50,0,50,2.0,False
361069,Higgs,numerical_classification,classification,940160,24,0,24,2.0,False
361070,eye_movements,numerical_classification,classification,7608,20,0,20,2.0,False
361071,jannis,numerical_classification,classification,57580,54,0,54,2.0,False
361072,cpu_act,numerical_regression,regression,8192,21,0,21,,False
361073,pol,numerical_regression,regression,15000,26,0,26,,False
361074,elevators,numerical_regression,regression,16599,16,0,16,,False
361075,isolet,numerical_regression,regression,7797,613,0,613,,False
361076,wine_quality,numerical_regression,regression,6497,11,0,11,,False
361077,Ailerons,numerical_regression,regression,13750,33,0,33,,False
361078,houses,numerical_regression,regression,20640,8,0,8,,False
361079,house_16H,numerical_regression,regression,22784,16,0,16,,False
361080,diamonds,numerical_regression,regression,53940,6,0,6,,False
361081,Brazilian_houses,numerical_regression,regression,10692,8,0,8,,False
361082,Bike_Sharing_Demand,numerical_regression,regression,17379,6,0,6,,False
361083,nyc-taxi-green-dec-2016,numerical_regression,regression,581835,9,0,9,,False
361084,house_sales,numerical_regression,regression,21613,15,0,15,,False
361085,sulfur,numerical_regression,regression,10081,6,0,6,,False
361086,medical_charges,numerical_regression,regression,163065,3,0,3,,False
361087,MiamiHousing2016,numerical_regression,regression,13932,13,0,13,,False
361088,superconduct,numerical_regression,regression,21263,79,0,79,,False
361089,california,numerical_regression,regression,20640,8,0,8,,False
361090,fifa,numerical_regression,regression,18063,5,0,5,,False
361091,year,numerical_regression,regression,515345,90,0,90,,False
361110,electricity,categorical_classification,classification,38474,8,1,7,2.0,False
361111,eye_movements,categorical_classification,classification,7608,23,3,20,2.0,False
361112,KDDCup09_upselling,categorical_classification,classification,5032,45,11,34,2.0,False
361113,covertype,categorical_classification,classification,423680,54,44,10,2.0,False
361114,rl,categorical_classification,classification,4970,12,7,5,2.0,False
361115,road-safety,categorical_classification,classification,111762,32,3,29,2.0,False
361116,compass,categorical_classification,classification,16644,17,9,8,2.0,False
361092,yprop_4_1,categorical_regression,regression,8885,62,20,42,,False
361093,analcatdata_supreme,categorical_regression,regression,4052,7,5,2,,False
361094,visualizing_soil,categorical_regression,regression,8641,4,1,3,,False
361095,black_friday,categorical_regression,regression,166821,9,5,4,,False
361096,diamonds,categorical_regression,regression,53940,9,3,6,,False
361097,Mercedes_Benz_Greener_Manufacturing,categorical_regression,regression,4209,359,359,0,,False
361098,Brazilian_houses,categorical_regression,regression,10692,11,3,8,,False
361099,Bike_Sharing_Demand,categorical_regression,regression,17379,11,5,6,,False
361100,OnlineNewsPopularity,categorical_regression,regression,39644,59,14,45,,False
361101,nyc-taxi-green-dec-2016,categorical_regression,regression,581835,16,7,9,,False
361102,house_sales,categorical_regression,regression,21613,17,2,15,,False
361103,particulate-matter-ukair-2017,categorical_regression,regression,394299,6,3,3,,False
361104,SGEMM_GPU_kernel_performance,categorical_regression,regression,241600,9,6,3,,False
