dataset_name,suite_name,task_type,baseline_score,metric
credit,numerical_classification,classification,0.8368,roc_auc
california,numerical_classification,classification,0.909,roc_auc
wine,numerical_classification,classification,0.7123,roc_auc
electricity,numerical_classification,classification,0.8184,roc_auc
covertype,numerical_classification,classification,0.7081,roc_auc
pol,numerical_classification,classification,0.7581,roc_auc
house_16H,numerical_classification,classification,0.9074,roc_auc
kdd_ipums_la_97-small,numerical_classification,classification,0.9443,roc_auc
MagicTelescope,numerical_classification,classification,0.8612,roc_auc
bank-marketing,numerical_classification,classification,0.8486,roc_auc
phoneme,numerical_classification,classification,0.785,roc_auc
MiniBooNE,numerical_classification,classification,0.9599,roc_auc
Higgs,numerical_classification,classification,0.6559,roc_auc
eye_movements,numerical_classification,classification,0.61,roc_auc
jannis,numerical_classification,classification,0.8094,roc_auc
cpu_act,numerical_regression,regression,0.4663,r2
pol,numerical_regression,regression,0.1869,r2
elevators,numerical_regression,regression,0.6104,r2
isolet,numerical_regression,regression,0.492,r2
wine_quality,numerical_regression,regression,0.2903,r2
Ailerons,numerical_regression,regression,0.7993,r2
houses,numerical_regression,regression,0.6235,r2
house_16H,numerical_regression,regression,0.3814,r2
diamonds,numerical_regression,regression,0.8774,r2
Brazilian_houses,numerical_regression,regression,0.9591,r2
Bike_Sharing_Demand,numerical_regression,regression,0.2619,r2
nyc-taxi-green-dec-2016,numerical_regression,regression,0.3916,r2
house_sales,numerical_regression,regression,0.705,r2
sulfur,numerical_regression,regression,0.4414,r2
medical_charges,numerical_regression,regression,0.9313,r2
MiamiHousing2016,numerical_regression,regression,0.7201,r2
superconduct,numerical_regression,regression,0.7225,r2
california,numerical_regression,regression,0.6279,r2
fifa,numerical_regression,regression,0.6024,r2
year,numerical_regression,regression,0.2324,r2
electricity,categorical_classification,classification,0.8184,roc_auc
eye_movements,categorical_classification,classification,0.61,roc_auc
KDDCup09_upselling,categorical_classification,classification,0.7839,roc_auc
covertype,categorical_classification,classification,0.828,roc_auc
rl,categorical_classification,classification,0.6346,roc_auc
road-safety,categorical_classification,classification,0.6431,roc_auc
compass,categorical_classification,classification,0.7184,roc_auc
yprop_4_1,categorical_regression,regression,0.0357,r2
analcatdata_supreme,categorical_regression,regression,-40.1182,r2
visualizing_soil,categorical_regression,regression,0.5068,r2
black_friday,categorical_regression,regression,0.2066,r2
diamonds,categorical_regression,regression,0.8774,r2
Brazilian_houses,categorical_regression,regression,0.9591,r2
Bike_Sharing_Demand,categorical_regression,regression,0.2619,r2
OnlineNewsPopularity,categorical_regression,regression,0.1178,r2
nyc-taxi-green-dec-2016,categorical_regression,regression,0.3916,r2
house_sales,categorical_regression,regression,0.705,r2
particulate-matter-ukair-2017,categorical_regression,regression,0.5959,r2
SGEMM_GPU_kernel_performance,categorical_regression,regression,0.9202,r2
