task_id,dataset_name,n_samples,n_features,n_categorical,n_numerical,n_classes,has_missing,exclusion_reason,dim_ratio
11,balance-scale,625,4,0,4,3,False,too_few_samples; ,0.0064
12,mfeat-factors,2000,216,0,216,10,False,too_few_samples; high_dimensional; ,0.108
14,mfeat-fourier,2000,76,0,76,10,False,too_few_samples; ,0.038
15,breast-w,699,9,0,9,2,True,too_few_samples; has_missing_data; ,0.012875536480686695
16,mfeat-karhunen,2000,64,0,64,10,False,too_few_samples; ,0.032
18,mfeat-morphological,2000,6,0,6,10,False,too_few_samples; ,0.003
22,mfeat-zernike,2000,47,0,47,10,False,too_few_samples; ,0.0235
23,cmc,1473,9,7,2,3,False,too_few_samples; ,0.006109979633401222
29,credit-approval,690,15,9,6,2,True,too_few_samples; has_missing_data; ,0.021739130434782608
31,credit-g,1000,20,13,7,2,False,too_few_samples; ,0.02
37,diabetes,768,8,0,8,2,False,too_few_samples; ,0.010416666666666666
49,tic-tac-toe,958,9,9,0,2,False,too_few_samples; ,0.009394572025052192
53,vehicle,846,18,0,18,4,False,too_few_samples; ,0.02127659574468085
2079,eucalyptus,736,19,5,14,5,True,too_few_samples; has_missing_data; ,0.025815217391304348
3021,sick,3772,29,22,7,2,True,has_missing_data; ,0.0076882290562036056
3022,vowel,990,12,2,10,11,False,too_few_samples; ,0.012121212121212121
3549,analcatdata_authorship,841,70,0,70,4,False,too_few_samples; ,0.08323424494649227
3560,analcatdata_dmft,797,4,4,0,6,False,too_few_samples; ,0.005018820577164366
3902,pc4,1458,37,0,37,2,False,too_few_samples; ,0.025377229080932786
3903,pc3,1563,37,0,37,2,False,too_few_samples; ,0.023672424824056303
3904,jm1,10885,21,0,21,2,True,has_missing_data; ,0.0019292604501607716
3913,kc2,522,21,0,21,2,False,too_few_samples; ,0.040229885057471264
3917,kc1,2109,21,0,21,2,False,too_few_samples; ,0.00995732574679943
3918,pc1,1109,21,0,21,2,False,too_few_samples; ,0.018935978358881875
7592,adult,48842,14,8,6,2,True,has_missing_data; ,0.00028663854878997584
9910,Bioresponse,3751,1776,0,1776,2,False,high_dimensional; ,0.47347374033591044
9946,wdbc,569,30,0,30,2,False,too_few_samples; ,0.05272407732864675
9957,qsar-biodeg,1055,41,0,41,2,False,too_few_samples; ,0.03886255924170616
9964,semeion,1593,256,0,256,10,False,too_few_samples; high_dimensional; ,0.16070307595731326
9971,ilpd,583,10,1,9,2,False,too_few_samples; ,0.017152658662092625
9976,madelon,2600,500,0,500,2,False,too_few_samples; high_dimensional; ,0.19230769230769232
9978,ozone-level-8hr,2534,72,0,72,2,False,too_few_samples; ,0.028413575374901343
9981,cnae-9,1080,856,0,856,9,False,too_few_samples; high_dimensional; ,0.7925925925925926
10093,banknote-authentication,1372,4,0,4,2,False,too_few_samples; ,0.0029154518950437317
10101,blood-transfusion-service-center,748,4,0,4,2,False,too_few_samples; ,0.0053475935828877
14954,cylinder-bands,540,37,19,18,2,True,too_few_samples; has_missing_data; ,0.06851851851851852
125920,dresses-sales,500,12,11,1,2,True,too_few_samples; has_missing_data; ,0.024
146800,MiceProtein,1080,77,0,77,8,True,too_few_samples; has_missing_data; ,0.0712962962962963
146817,steel-plates-fault,1941,27,0,27,7,False,too_few_samples; ,0.013910355486862442
146819,climate-model-simulation-crashes,540,18,0,18,2,False,too_few_samples; ,0.03333333333333333
146821,car,1728,6,6,0,4,False,too_few_samples; ,0.003472222222222222
146822,segment,2310,16,0,16,7,False,too_few_samples; ,0.006926406926406926
146824,mfeat-pixel,2000,240,0,240,10,False,too_few_samples; high_dimensional; ,0.12
167125,Internet-Advertisements,3279,1558,1555,3,2,False,high_dimensional; ,0.4751448612381824
