task_id,dataset_name,n_samples,n_features,n_categorical,n_numerical,n_classes,has_missing,dim_ratio
3,kr-vs-kp,3196,36,36,0,2,False,0.011264080100125156
6,letter,20000,16,0,16,26,False,0.0008
28,optdigits,5620,64,0,64,10,False,0.011387900355871887
32,pendigits,10992,16,0,16,10,False,0.001455604075691412
43,spambase,4601,57,0,57,2,False,0.01238861117148446
45,splice,3190,60,60,0,3,False,0.018808777429467086
219,electricity,45312,8,1,7,2,False,0.00017655367231638418
2074,satimage,6430,36,0,36,6,False,0.005598755832037325
3481,isolet,7797,617,0,617,26,False,0.07913299987174555
3573,mnist_784,70000,784,0,784,10,False,0.0112
9952,phoneme,5404,5,0,5,2,False,0.000925240562546262
9960,wall-robot-navigation,5456,24,0,24,4,False,0.004398826979472141
9977,nomao,34465,118,29,89,2,False,0.003423763238067605
9985,first-order-theorem-proving,6118,51,0,51,6,False,0.008336057535142204
14952,PhishingWebsites,11055,30,30,0,2,False,0.0027137042062415195
14965,bank-marketing,45211,16,9,7,2,False,0.00035389617570945125
14969,GesturePhaseSegmentationProcessed,9873,32,0,32,5,False,0.0032411627671427123
14970,har,10299,561,0,561,6,False,0.05447130789397029
125922,texture,5500,40,0,40,11,False,0.007272727272727273
146195,connect-4,67557,42,42,0,3,False,0.0006216972334473111
146820,wilt,4839,5,0,5,2,False,0.0010332713370531101
146825,Fashion-MNIST,70000,784,0,784,10,False,0.0112
167119,jungle_chess_2pcs_raw_endgame_complete,44819,6,0,6,3,False,0.00013387179544389658
167120,numerai28.6,96320,21,0,21,2,False,0.00021802325581395349
167121,Devnagari-Script,92000,1024,0,1024,46,False,0.011130434782608696
167124,CIFAR_10,60000,3072,0,3072,10,False,0.0512
167140,dna,3186,180,180,0,3,False,0.05649717514124294
167141,churn,5000,20,4,16,2,False,0.004
