dataset_name,suite_name,outlier_pct
isolet,numerical_regression,67.05
pol,numerical_regression,39.56
pol,numerical_classification,35.5
OnlineNewsPopularity,categorical_regression,31.29
year,numerical_regression,27.71
jannis,numerical_classification,27.08
Ailerons,numerical_regression,26.67
KDDCup09_upselling,categorical_classification,25.93
yprop_4_1,categorical_regression,25.8
superconduct,numerical_regression,22.71
road-safety,categorical_classification,21.6
cpu_act,numerical_regression,19.8
eye_movements,numerical_classification,15.64
eye_movements,categorical_classification,15.64
house_16H,numerical_classification,15.5
house_16H,numerical_regression,15.21
Higgs,numerical_classification,13.2
elevators,numerical_regression,12.49
compass,categorical_classification,10.93
house_sales,numerical_regression,10.45
house_sales,categorical_regression,10.45
bank-marketing,numerical_classification,9.38
kdd_ipums_la_97-small,numerical_classification,8.94
nyc-taxi-green-dec-2016,numerical_regression,8.45
nyc-taxi-green-dec-2016,categorical_regression,8.45
wine,numerical_classification,8.03
covertype,numerical_classification,7.72
wine_quality,numerical_regression,7.51
MagicTelescope,numerical_classification,6.67
covertype,categorical_classification,6.55
rl,categorical_classification,6.44
MiniBooNE,numerical_classification,5.4
credit,numerical_classification,5.38
medical_charges,numerical_regression,5.04
Brazilian_houses,numerical_regression,4.9
Brazilian_houses,categorical_regression,4.9
MiamiHousing2016,numerical_regression,4.88
houses,numerical_regression,4.32
particulate-matter-ukair-2017,categorical_regression,4.21
california,numerical_classification,4.1
california,numerical_regression,4.1
fifa,numerical_regression,4.04
phoneme,numerical_classification,3.34
diamonds,categorical_regression,2.57
diamonds,numerical_regression,2.57
SGEMM_GPU_kernel_performance,categorical_regression,2.18
black_friday,categorical_regression,1.99
analcatdata_supreme,categorical_regression,1.7
electricity,numerical_classification,1.25
electricity,categorical_classification,1.25
sulfur,numerical_regression,1.07
Bike_Sharing_Demand,categorical_regression,0.74
Bike_Sharing_Demand,numerical_regression,0.74
visualizing_soil,categorical_regression,0.51
Mercedes_Benz_Greener_Manufacturing,categorical_regression,0.0
